Compte,Libelle,Cpte_Ppal,Etat_Passif,Etat_Actif,Passif,Actif,Sens,CpteFinEnc,CpteFinEnc2,Bal_Entree,Recette_Budgetaire,Depense_Budgetaire,Recette_Fiscale,Section_Budget,Origine_Recette,Section_Budget_Tri,Acteur_Tresor,Acteur_Impot,Acteur_Autres,DetailsPlus,DansDetail,Libelle2,Situation_Tresorerie,Rang
"10","DOTATIONS, SUBVENTIONS, DONS ET LEGS EN CAPITAL",0,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,0,,0,1
"101","Dotations reçues de l'État",0,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,0,,0,2
"1010","Dotation globale d'équipement",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,0,,0,3
"1011","Dotation du domaine de la santé et de l'hygiène",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,0,,0,4
"1012","Dotation du domaine de l'éducation, de la formation professionnelle et de l'alphabétisation",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,0,,0,5
"1013","Dotation du domaine de l'eau, de l'assainissement et de l'électricité",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,0,,0,6
"1014","Dotation du domaine de l'environnement et de la gestion des ressources naturelles",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,0,,0,7
"1015","Dotation du domaine de la culture, des sports et des loisirs",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,0,,0,8
"1016","Dotation du domaine de l'aménagement du territoire, de la gestion du domaine du foncier et de l'aménagement urbain",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,0,,0,9
"1017","Dotation du domaine des marchés, abattoirs et foires",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,0,,0,10
"1018","Dotation du domaine de la protection civile, de l'assistance et des secours",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,0,,0,11
"1019","Autres dotations reçues de l'Etat",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,12
"102","Fonds de concours",0,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,13
"1020","Fonds de concours n°1",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,14
"1021","Fonds de concours n°2",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,15
"1022","Fonds de concours n°3",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,16
"1023","Fonds de concours n°4",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,17
"1024","Fonds de concours n°5",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,18
"1025","Fonds de concours n°6",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,19
"1026","Fonds de concours n°7",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,20
"1027","Fonds de concours n°8",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,21
"1028","Fonds de concours n°9",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,22
"1029","Autres fonds de concours",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,23
"103","Dotations complémentaires",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,24
"104","Dons et legs en capital",0,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,25
"1040","Dons et legs en capital intérieurs",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,26
"1041","Dons et legs en capital extérieurs",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,27
"1049","Autres dons et legs en capital",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,28
"105","Subventions",0,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,29
"1050","Subvention n°1",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,30
"1051","Subvention n°2",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,31
"1052","Subvention n°3",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,32
"1053","Subvention n°4",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,33
"1054","Subvention n°5",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,34
"1055","Subvention n°6",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,35
"1056","Subvention n°7",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,36
"1057","Subvention n° 8",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,37
"1058","Subvention n°9",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,38
"1059","Autres subventions",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,39
"109","Autres dotations, subventions, dons et legs en capita",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I001",0,0,1,,1,,0,40
"11","RESERVES",0,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I002",0,0,1,,0,,0,41
"111","Excédent de fonctionnement capitalisé",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I002",0,0,1,,0,,0,42
"112","Différences sur réalisation de biens meubles et immeubles",1,0,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I002",0,0,1,,0,,0,43
"12","REPORT À NOUVEAU",0,0,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I003",0,0,1,,0,,0,44
"121","Résultat ordinaire reporté",1,0,0,1,0,"C",0,0,1,0,0,0,"Investissement","Recettes Externes","I003",0,0,1,,0,,0,45
"122","Résultat de fonctionnement affecté",1,0,0,0,0,"C",0,0,0,1,1,0,"Investissement","Recettes Externes","I003",0,0,1,,0,,0,46
"123","Résultat d'investissement reporté",1,0,0,0,0,"C",0,0,0,1,1,0,"Investissement","Recettes Externes","I003",0,0,1,,0,,0,47
"13","RÉSULTAT DE L'EXERCICE",0,0,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I004",0,0,1,,0,,0,48
"131","Résultat de fonctionnement",1,0,0,1,0,"C",0,0,1,0,0,0,"Investissement","Recettes Externes","I004",0,0,1,,0,,0,49
"14","DONS PROJETS ET LEGS",0,0,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I005",0,0,1,,0,,0,50
"141","Dons projets et legs intérieurs",1,0,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I005",0,0,1,,0,,0,51
"142","Dons projets et legs extérieurs",1,0,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I005",0,0,1,,0,,0,52
"149","Autres dons projets et legs",1,0,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I005",0,0,1,,0,,0,53
"16","EMPRUNTS ET DETTES À COURT, MOYEN ET LONG TERMES ET DETTES ASSIMILÉES",0,0,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I006",0,0,1,,0,,0,54
"161","Emprunts et dettes à court terme",1,1,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I006",0,0,1,,0,,0,55
"162","Emprunts et dettes à moyen terme",1,1,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I006",0,0,1,,0,,0,56
"163","Emprunts et dettes à long terme",1,1,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I006",0,0,1,,0,,0,57
"164","Dépôts et cautionnements reçus",1,1,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I006",0,0,1,,0,,0,58
"169","Autres emprunts et dettes",1,1,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I006",0,0,1,,0,,0,59
"18","DETTES LIÉES AUX COMPTES RATTACHÉS",0,0,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I007",0,0,1,,0,,0,60
"181","Dettes liées à des participations",1,1,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I007",0,0,1,,0,,0,61
